Order ID,Table,Items,Total,Status,Placed,Archived
1,1,CHICKEN PIZZA (2 pcs) (x2),"$10.98 ",0,"3/21/2025, 08:49 PM",0
0.888888888888889,1,Spicy Chicken Burger (x3),"$27.98 ",1,"3/21/2025, 08:48 PM",0
0.7777777777777778,1,Spicy Chicken Burger (x3),"$27.98 ",0,"3/21/2025, 08:46 PM",0
0.6666666666666666,1,Spicy Chicken Burger (x3),"$27.98 ",0,"3/21/2025, 08:44 PM",0
0.5555555555555556,1,Spicy Chicken Burger (x3),"$27.98 ",0,"3/21/2025, 08:42 PM",0
0.4444444444444445,0.7499999999999999,CHICKEN PIZZA (2 pcs) (x2),"$10.98 ",0,"3/21/2025, 08:40 PM",1
0.33333333333333337,0.7499999999999999,SPRITE  (x2),"$31.98 ",0,"3/21/2025, 08:39 PM",1
0.22222222222222224,0.24999999999999997,STEAMED CHICKEN MOMO (x2),"$26.98 ",0,"3/21/2025, 08:30 PM",0
0.11111111111111115,0.24999999999999997,Spicy Chicken Burger (x3),"$27.98 ",0,"3/21/2025, 08:23 PM",1
0,0,COCA COLA (x1),"$13.99 ",0,"3/21/2025, 06:54 PM",1
